Cycle,Count,Models Involved
mail.mail.thread -> mail.mail.thread,586,"mail.thread, mail.thread"
printnode_base.product.product -> printnode_base.product.product -> printnode_base.product.product,528,"product.product, product.product, product.product"
industry_fsm.res.company -> industry_fsm.res.company -> industry_fsm.res.company,205,"res.company, res.company, res.company"
project.project.task -> project.project.task -> project.project.task,193,"project.task, project.task, project.task"
test_access_rights.res.partner -> test_access_rights.res.partner -> test_access_rights.res.partner,153,"res.partner, res.partner, res.partner"
account.account.move -> account.account.move -> account.account.move,149,"account.move, account.move, account.move"
printnode_base.sale.order -> printnode_base.sale.order -> printnode_base.sale.order,138,"sale.order, sale.order, sale.order"
website_sale.product.template -> website_sale.product.template -> website_sale.product.template,115,"product.template, product.template, product.template"
sale.sale.order -> sale.sale.order -> sale.sale.order,108,"sale.order, sale.order, sale.order"
l10n_es_edi_sii.account.tax.template -> l10n_es_edi_sii.account.tax.template -> l10n_es_edi_sii.account.tax.template,105,"account.tax.template, account.tax.template, account.tax.template"
hr_rfid.res.company -> hr_rfid.res.company -> hr_rfid.res.company,102,"res.company, res.company, res.company"
website_sale_delivery.delivery.carrier -> website_sale_delivery.delivery.carrier -> website_sale_delivery.delivery.carrier,94,"delivery.carrier, delivery.carrier, delivery.carrier"
hr.hr.employee -> hr.hr.employee -> hr.hr.employee,94,"hr.employee, hr.employee, hr.employee"
printnode_base.account.move -> printnode_base.account.move -> printnode_base.account.move,91,"account.move, account.move, account.move"
contacts.res.users -> contacts.res.users -> contacts.res.users,88,"res.users, res.users, res.users"
crm.crm.lead -> crm.crm.lead -> crm.crm.lead,87,"crm.lead, crm.lead, crm.lead"
account.account.move.line -> account.account.move.line -> account.account.move.line,86,"account.move.line, account.move.line, account.move.line"
hr_contract_sign.hr.contract -> hr_contract_sign.hr.contract -> hr_contract_sign.hr.contract,84,"hr.contract, hr.contract, hr.contract"
documents_product.product.template -> documents_product.product.template -> documents_product.product.template,71,"product.template, product.template, product.template"
helpdesk.helpdesk.ticket -> helpdesk.helpdesk.ticket -> helpdesk.helpdesk.ticket,66,"helpdesk.ticket, helpdesk.ticket, helpdesk.ticket"
stock.stock.picking -> stock.stock.picking -> stock.stock.picking,64,"stock.picking, stock.picking, stock.picking"
l10n_cl_edi.account.move -> l10n_cl_edi.account.move -> l10n_cl_edi.account.move,56,"account.move, account.move, account.move"
csl_rma.rma.expected_delivery -> csl_rma.rma.expected_delivery -> csl_rma.rma.expected_delivery,56,"rma.expected_delivery, rma.expected_delivery, rma.expected_delivery"
project.project.project -> project.project.project -> project.project.project,51,"project.project, project.project, project.project"
calendar.calendar.event -> calendar.calendar.event -> calendar.calendar.event,49,"calendar.event, calendar.event, calendar.event"
purchase.purchase.order -> purchase.purchase.order -> purchase.purchase.order,49,"purchase.order, purchase.order, purchase.order"
mrp.mrp.workorder -> mrp.mrp.workorder -> mrp.mrp.workorder,47,"mrp.workorder, mrp.workorder, mrp.workorder"
mass_mailing.mailing.mailing -> mass_mailing.mailing.mailing -> mass_mailing.mailing.mailing,46,"mailing.mailing, mailing.mailing, mailing.mailing"
product.product.product -> product.product.product -> product.product.product,46,"product.product, product.product, product.product"
product.product.template -> product.product.template -> product.product.template,46,"product.template, product.template, product.template"
base.res.company -> base.res.company -> base.res.company,46,"res.company, res.company, res.company"
hr_recruitment.hr.applicant -> hr_recruitment.hr.applicant -> hr_recruitment.hr.applicant,45,"hr.applicant, hr.applicant, hr.applicant"
base.res.partner -> base.res.partner -> base.res.partner,45,"res.partner, res.partner, res.partner"
mrp_workorder.mrp.workorder -> mrp_workorder.mrp.workorder -> mrp_workorder.mrp.workorder,44,"mrp.workorder, mrp.workorder, mrp.workorder"
website_event.event.event -> website_event.event.event -> website_event.event.event,44,"event.event, event.event, event.event"
event.event.event -> event.event.event -> event.event.event,43,"event.event, event.event, event.event"
purchase.purchase.order.line -> purchase.purchase.order.line -> purchase.purchase.order.line,43,"purchase.order.line, purchase.order.line, purchase.order.line"
hr_payroll.hr.payslip -> hr_payroll.hr.payslip -> hr_payroll.hr.payslip,42,"hr.payslip, hr.payslip, hr.payslip"
hr_holidays.hr.leave -> hr_holidays.hr.leave -> hr_holidays.hr.leave,41,"hr.leave, hr.leave, hr.leave"
partner_autocomplete.res.company -> partner_autocomplete.res.company -> partner_autocomplete.res.company,41,"res.company, res.company, res.company"
account_reports.res.partner -> account_reports.res.partner -> account_reports.res.partner,39,"res.partner, res.partner, res.partner"
documents_project.project.task -> documents_project.project.task -> documents_project.project.task,39,"project.task, project.task, project.task"
printnode_base.purchase.order -> printnode_base.purchase.order -> printnode_base.purchase.order,38,"purchase.order, purchase.order, purchase.order"
purchase_stock.product.template -> purchase_stock.product.template -> purchase_stock.product.template,38,"product.template, product.template, product.template"
hr_contract_sign.res.users -> hr_contract_sign.res.users -> hr_contract_sign.res.users,37,"res.users, res.users, res.users"
helpdesk.helpdesk.team -> helpdesk.helpdesk.team -> helpdesk.helpdesk.team,36,"helpdesk.team, helpdesk.team, helpdesk.team"
hr_contract_sign.hr.employee -> hr_contract_sign.hr.employee -> hr_contract_sign.hr.employee,36,"hr.employee, hr.employee, hr.employee"
account.res.partner -> account.res.partner -> account.res.partner,36,"res.partner, res.partner, res.partner"
base.res.users -> base.res.users -> base.res.users,36,"res.users, res.users, res.users"
stock.stock.move.line -> stock.stock.move.line -> stock.stock.move.line,35,"stock.move.line, stock.move.line, stock.move.line"
l10n_cl_edi_stock.stock.picking -> l10n_cl_edi_stock.stock.picking -> l10n_cl_edi_stock.stock.picking,33,"stock.picking, stock.picking, stock.picking"
base.ir.model.fields -> base.ir.model.fields -> base.ir.model.fields,33,"ir.model.fields, ir.model.fields, ir.model.fields"
analytic.account.analytic.line -> analytic.account.analytic.line -> analytic.account.analytic.line,30,"account.analytic.line, account.analytic.line, account.analytic.line"
mrp.mrp.workcenter -> mrp.mrp.workcenter -> mrp.mrp.workcenter,29,"mrp.workcenter, mrp.workcenter, mrp.workcenter"
purchase_stock.product.product -> purchase_stock.product.product -> purchase_stock.product.product,29,"product.product, product.product, product.product"
website_event_track_exhibitor.event.sponsor -> website_event_track_exhibitor.event.sponsor -> website_event_track_exhibitor.event.sponsor,29,"event.sponsor, event.sponsor, event.sponsor"
mail.mail.channel -> mail.mail.channel -> mail.mail.channel,28,"mail.channel, mail.channel, mail.channel"
mass_mailing_sale.mailing.mailing -> mass_mailing_sale.mailing.mailing -> mass_mailing_sale.mailing.mailing,26,"mailing.mailing, mailing.mailing, mailing.mailing"
account.account.tax -> account.account.tax -> account.account.tax,26,"account.tax, account.tax, account.tax"
mail.mail.template -> mail.mail.template -> mail.mail.template,26,"mail.template, mail.template, mail.template"
sale.account.move -> sale.account.move -> sale.account.move,26,"account.move, account.move, account.move"
printnode_base.stock.move.line -> printnode_base.stock.move.line -> printnode_base.stock.move.line,25,"stock.move.line, stock.move.line, stock.move.line"
sign.sign.request -> sign.sign.request -> sign.sign.request,25,"sign.request, sign.request, sign.request"
stock_barcode.stock.picking -> stock_barcode.stock.picking -> stock_barcode.stock.picking,24,"stock.picking, stock.picking, stock.picking"
website.website.visitor -> website.website.visitor -> website.website.visitor,24,"website.visitor, website.visitor, website.visitor"
base.res.country -> base.res.country -> base.res.country,23,"res.country, res.country, res.country"
account.account.tax.template -> account.account.tax.template -> account.account.tax.template,23,"account.tax.template, account.tax.template, account.tax.template"
gamification.gamification.badge -> gamification.gamification.badge -> gamification.gamification.badge,23,"gamification.badge, gamification.badge, gamification.badge"
