class,model,method,file_path,module
AccountJournal,account.journal,open_action,C:\Odoo\sh\src\enterprise\account_3way_match\models\account_journal_dashboard.py,account_3way_match
AccountJournal,account.journal,_get_open_bills_to_pay_query,C:\Odoo\sh\src\enterprise\account_3way_match\models\account_journal_dashboard.py,account_3way_match
Digest,digest.digest,_compute_kpis_actions,C:\Odoo\sh\src\enterprise\account_accountant\models\digest.py,account_accountant
ResCompany,res.company,write,C:\Odoo\sh\src\enterprise\account_accountant\models\res_company.py,account_accountant
ResConfigSettings,res.config.settings,create,C:\Odoo\sh\src\enterprise\account_accountant\models\res_config_settings.py,account_accountant
AccountReconciliation,account.reconciliation.widget,_str_domain_for_mv_line,C:\Odoo\sh\src\enterprise\account_accountant_check_printing\models\reconciliation_widget.py,account_accountant_check_printing
AccountAsset,account.asset,unlink,C:\Odoo\sh\src\enterprise\account_asset\models\account_asset.py,account_asset
AccountAsset,account.asset,copy_data,C:\Odoo\sh\src\enterprise\account_asset\models\account_asset.py,account_asset
AccountAsset,account.asset,create,C:\Odoo\sh\src\enterprise\account_asset\models\account_asset.py,account_asset
AccountMove,account.move,_post,C:\Odoo\sh\src\enterprise\account_asset\models\account_move.py,account_asset
AccountMove,account.move,_reverse_moves,C:\Odoo\sh\src\enterprise\account_asset\models\account_move.py,account_asset
AccountMove,account.move,button_cancel,C:\Odoo\sh\src\enterprise\account_asset\models\account_move.py,account_asset
AccountMove,account.move,button_draft,C:\Odoo\sh\src\enterprise\account_asset\models\account_move.py,account_asset
assets_report,account.assets.report,_get_templates,C:\Odoo\sh\src\enterprise\account_asset\report\account_assets_report.py,account_asset
AssetModify,asset.modify,create,C:\Odoo\sh\src\enterprise\account_asset\wizard\asset_modify.py,account_asset
TransferModel,account.transfer.model,copy,C:\Odoo\sh\src\enterprise\account_auto_transfer\models\transfer_model.py,account_auto_transfer
AccountJournal,account.journal,__get_bank_statements_available_sources,C:\Odoo\sh\src\enterprise\account_bank_statement_import\account_journal.py,account_bank_statement_import
SetupBarBankConfigWizard,account.setup.bank.manual.config,validate,C:\Odoo\sh\src\enterprise\account_bank_statement_import\wizard\setup_wizards.py,account_bank_statement_import
AccountJournal,account.journal,_get_bank_statements_available_import_formats,C:\Odoo\sh\src\enterprise\account_bank_statement_import_camt\models\account_journal.py,account_bank_statement_import_camt
AccountBankStatementImport,account.bank.statement.import,_parse_file,C:\Odoo\sh\src\enterprise\account_bank_statement_import_camt\wizard\account_bank_statement_import_camt.py,account_bank_statement_import_camt
AccountJournal,account.journal,_get_bank_statements_available_import_formats,C:\Odoo\sh\src\enterprise\account_bank_statement_import_csv\models\account_journal.py,account_bank_statement_import_csv
AccountBankStatementImport,account.bank.statement.import,import_file,C:\Odoo\sh\src\enterprise\account_bank_statement_import_csv\wizard\account_bank_statement_import_csv.py,account_bank_statement_import_csv
AccountBankStmtImportCSV,base_import.import,get_fields,C:\Odoo\sh\src\enterprise\account_bank_statement_import_csv\wizard\account_bank_statement_import_csv.py,account_bank_statement_import_csv
AccountBankStmtImportCSV,base_import.import,_parse_import_data,C:\Odoo\sh\src\enterprise\account_bank_statement_import_csv\wizard\account_bank_statement_import_csv.py,account_bank_statement_import_csv
AccountBankStmtImportCSV,base_import.import,parse_preview,C:\Odoo\sh\src\enterprise\account_bank_statement_import_csv\wizard\account_bank_statement_import_csv.py,account_bank_statement_import_csv
AccountBankStmtImportCSV,base_import.import,do,C:\Odoo\sh\src\enterprise\account_bank_statement_import_csv\wizard\account_bank_statement_import_csv.py,account_bank_statement_import_csv
AccountJournal,account.journal,_get_bank_statements_available_import_formats,C:\Odoo\sh\src\enterprise\account_bank_statement_import_ofx\models\account_journal.py,account_bank_statement_import_ofx
AccountBankStatementImport,account.bank.statement.import,_parse_file,C:\Odoo\sh\src\enterprise\account_bank_statement_import_ofx\wizard\account_bank_statement_import_ofx.py,account_bank_statement_import_ofx
AccountJournal,account.journal,_get_bank_statements_available_import_formats,C:\Odoo\sh\src\enterprise\account_bank_statement_import_qif\models\account_journal.py,account_bank_statement_import_qif
AccountBankStatementImport,account.bank.statement.import,_find_additional_data,C:\Odoo\sh\src\enterprise\account_bank_statement_import_qif\wizard\account_bank_statement_import_qif.py,account_bank_statement_import_qif
AccountBankStatementImport,account.bank.statement.import,_parse_file,C:\Odoo\sh\src\enterprise\account_bank_statement_import_qif\wizard\account_bank_statement_import_qif.py,account_bank_statement_import_qif
AccountBatchPayment,account.batch.payment,create,C:\Odoo\sh\src\enterprise\account_batch_payment\models\account_batch_payment.py,account_batch_payment
AccountBatchPayment,account.batch.payment,write,C:\Odoo\sh\src\enterprise\account_batch_payment\models\account_batch_payment.py,account_batch_payment
AccountJournal,account.journal,_default_inbound_payment_methods,C:\Odoo\sh\src\enterprise\account_batch_payment\models\account_journal.py,account_batch_payment
AccountReconciliation,account.reconciliation.widget,get_bank_statement_data,C:\Odoo\sh\src\enterprise\account_batch_payment\models\widget_reconciliation.py,account_batch_payment
AccountBudgetPost,account.budget.post,create,C:\Odoo\sh\src\enterprise\account_budget\models\account_budget.py,account_budget
AccountBudgetPost,account.budget.post,write,C:\Odoo\sh\src\enterprise\account_budget\models\account_budget.py,account_budget
CrossoveredBudgetLines,crossovered.budget.lines,read_group,C:\Odoo\sh\src\enterprise\account_budget\models\account_budget.py,account_budget
ConsolidationChart,consolidation.chart,copy,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_coa.py,account_consolidation
ConsolidationAccount,consolidation.account,write,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_coa.py,account_consolidation
ConsolidationJournalLine,consolidation.journal.line,write,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_journal.py,account_consolidation
ConsolidationJournalLine,consolidation.journal.line,unlink,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_journal.py,account_consolidation
ConsolidationJournalLine,consolidation.journal.line,_grid_column_info,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_journal.py,account_consolidation
ConsolidationJournalLine,consolidation.journal.line,_grid_make_empty_cell,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_journal.py,account_consolidation
ConsolidationPeriod,consolidation.period,copy,C:\Odoo\sh\src\enterprise\account_consolidation\models\consolidation_period.py,account_consolidation
AccountConsolidationTrialBalanceReport,account.consolidation.trial_balance_report,_get_options,C:\Odoo\sh\src\enterprise\account_consolidation\report\trial_balance.py,account_consolidation
