model,module,inherited_model,inherited_module
account.move.line,account,account.move.line,account
account.asset,account_asset,mail.thread,mail
account.asset,account_asset,mail.activity.mixin,mail
account.assets.report,account_asset,account.report,account_reports
crossovered.budget,account_budget,mail.thread,mail
crossovered.budget,account_budget,mail.activity.mixin,mail
consolidation.period,account_consolidation,mail.thread,mail
account.consolidation.trial_balance_report,account_consolidation,account.report,account_reports
account.disallowed.expenses.report,account_disallowed_expenses,account.report,account_reports
account.followup.report,account_followup,account.report,account_reports
res.partner,test_access_rights,res.partner,test_access_rights
res.partner,test_access_rights,phone.validation.mixin,phone_validation
res.partner,test_access_rights,voip.queue.mixin,voip
res.partner,test_access_rights,mail.activity.mixin,mail
res.partner,test_access_rights,mail.thread.blacklist,mail
res.partner,test_access_rights,mail.thread.phone,phone_validation
res.partner,test_access_rights,website.published.multi.mixin,website
res.partner,test_access_rights,website.seo.metadata,website
res.partner,test_access_rights,format.address.mixin,base
res.partner,test_access_rights,image.mixin,base
account.intrastat.report,account_intrastat,account.report,account_reports
account.sales.report,account_intrastat,account.report,account_reports
account.online.provider,account_online_sync,mail.thread,mail
account.online.link,account_online_synchronization,mail.thread,mail
account.accounting.report,account_reports,account.report,account_reports
account.aged.partner,account_reports,account.accounting.report,account_reports
account.aged.receivable,account_reports,account.aged.partner,account_reports
account.aged.payable,account_reports,account.aged.partner,account_reports
account.analytic.report,account_reports,account.report,account_reports
account.bank.reconciliation.report,account_reports,account.report,account_reports
account.cash.flow.report,account_reports,account.report,account_reports
account.consolidated.journal,account_reports,account.report,account_reports
account.financial.html.report,account_reports,account.report,account_reports
account.general.ledger,account_reports,account.report,account_reports
account.generic.tax.report,account_reports,account.report,account_reports
account.multicurrency.revaluation,account_reports,account.accounting.report,account_reports
account.partner.ledger,account_reports,account.report,account_reports
account.coa.report,account_reports,account.report,account_reports
sdd.mandate,account_sepa_direct_debit,mail.thread,mail
sdd.mandate,account_sepa_direct_debit,mail.activity.mixin,mail
approval.request,approvals,mail.thread,mail
approval.request,approvals,mail.activity.mixin,mail
stock.picking,printnode_base,stock.picking,printnode_base
stock.picking,printnode_base,barcodes.barcode_events_mixin,barcodes
stock.picking,printnode_base,l10n_cl.edi.util,l10n_cl_edi
stock.picking,printnode_base,mail.thread,mail
stock.picking,printnode_base,mail.activity.mixin,mail
stock.picking,printnode_base,multi.print.mixin,printnode_base
stock.picking,printnode_base,printnode.mixin,printnode_base
stock.picking,printnode_base,printnode.scenario.mixin,printnode_base
documents.document,documents,mail.thread.cc,mail
documents.document,documents,mail.activity.mixin,mail
documents.share,documents,mail.thread,mail
documents.share,documents,mail.alias.mixin,mail
hr.employee,hr,hr.employee,hr
hr.employee,hr,documents.mixin,documents
hr.employee,hr,hr.employee.base,hr
hr.employee,hr,mail.thread,mail
hr.employee,hr,mail.activity.mixin,mail
hr.employee,hr,resource.mixin,resource
hr.employee,hr,image.mixin,base
res.users,base,res.users,base
hr.contract,hr_contract,hr.contract,hr_contract
hr.contract,hr_contract,documents.mixin,documents
hr.contract,hr_contract,mail.thread,mail
hr.contract,hr_contract,mail.activity.mixin,mail
hr.leave,hr_holidays,hr.leave,hr_holidays
hr.leave,hr_holidays,documents.mixin,documents
hr.leave,hr_holidays,mail.thread,mail
hr.leave,hr_holidays,mail.activity.mixin,mail
hr.payslip,hr_payroll,hr.payslip,hr_payroll
hr.payslip,hr_payroll,documents.mixin,documents
hr.payslip,hr_payroll,mail.thread.cc,mail
hr.payslip,hr_payroll,mail.activity.mixin,mail
hr.applicant,hr_recruitment,hr.applicant,hr_recruitment
hr.applicant,hr_recruitment,documents.mixin,documents
hr.applicant,hr_recruitment,mail.thread.cc,mail
hr.applicant,hr_recruitment,mail.activity.mixin,mail
hr.applicant,hr_recruitment,utm.mixin,utm
hr.job,website_hr_recruitment,hr.job,website_hr_recruitment
hr.job,website_hr_recruitment,documents.mixin,documents
hr.job,website_hr_recruitment,mail.thread,mail
hr.job,website_hr_recruitment,mail.alias.mixin,mail
hr.job,website_hr_recruitment,website.seo.metadata,website
hr.job,website_hr_recruitment,website.published.multi.mixin,website
product.product,printnode_base,product.product,printnode_base
product.product,printnode_base,documents.mixin,documents
product.product,printnode_base,mail.thread,mail
product.product,printnode_base,mail.activity.mixin,mail
product.product,printnode_base,multi.print.mixin,printnode_base
product.template,printnode_base,product.template,printnode_base
product.template,printnode_base,documents.mixin,documents
product.template,printnode_base,mail.thread,mail
product.template,printnode_base,mail.activity.mixin,mail
product.template,printnode_base,image.mixin,base
product.template,printnode_base,website.seo.metadata,website
product.template,printnode_base,website.published.multi.mixin,website
product.template,printnode_base,rating.mixin,rating
product.template,printnode_base,multi.print.mixin,printnode_base
project.project,project,project.project,project
project.project,project,documents.mixin,documents
project.project,project,pad.common,pad
project.project,project,portal.mixin,portal
project.project,project,mail.alias.mixin,mail
project.project,project,mail.thread,mail
project.project,project,rating.parent.mixin,rating
project.task,project,project.task,project
project.task,project,documents.mixin,documents
project.task,project,timer.mixin,timer
project.task,project,pad.common,pad
project.task,project,portal.mixin,portal
project.task,project,mail.thread.cc,mail
project.task,project,mail.activity.mixin,mail
project.task,project,rating.mixin,rating
sign.request,sign,sign.request,sign
sign.request,sign,documents.mixin,documents
sign.request,sign,mail.thread,mail
sign.request,sign,mail.activity.mixin,mail
sign.template,sign,sign.template,sign
sign.template,sign,documents.mixin,documents
helpdesk.team,website_helpdesk,mail.alias.mixin,mail
helpdesk.team,website_helpdesk,mail.thread,mail
helpdesk.team,website_helpdesk,rating.parent.mixin,rating
helpdesk.team,website_helpdesk,helpdesk.team,website_helpdesk
helpdesk.team,website_helpdesk,website.published.mixin,website
helpdesk.ticket,helpdesk_timesheet,portal.mixin,portal
helpdesk.ticket,helpdesk_timesheet,mail.thread.cc,mail
helpdesk.ticket,helpdesk_timesheet,utm.mixin,utm
helpdesk.ticket,helpdesk_timesheet,rating.mixin,rating
helpdesk.ticket,helpdesk_timesheet,mail.activity.mixin,mail
helpdesk.ticket,helpdesk_timesheet,helpdesk.ticket,helpdesk_timesheet
helpdesk.ticket,helpdesk_timesheet,timer.mixin,timer
hr.appraisal,hr_appraisal,mail.thread,mail
hr.appraisal,hr_appraisal,mail.activity.mixin,mail
hr.appraisal.goal,hr_appraisal,mail.thread,mail
hr.appraisal.goal,hr_appraisal,mail.activity.mixin,mail
hr.referral.reward,hr_referral,mail.thread,mail
hr.referral.reward,hr_referral,mail.activity.mixin,mail
res.company,hr_rfid,res.company,hr_rfid
report.project.task.user.fsm,industry_fsm,report.project.task.user,project
l10n_ar.vat.book,l10n_ar_reports,account.report,account_reports
l10n.au.tax.report,l10n_au_reports,account.report,account_reports
hr.payroll.281.10.wizard,l10n_be_hr_payroll,hr.payroll.281.base.wizard,l10n_be_hr_payroll
hr.payroll.281.45.wizard,l10n_be_hr_payroll,hr.payroll.281.base.wizard,l10n_be_hr_payroll
l10n.be.report.partner.vat.intra,l10n_be_reports,account.report,account_reports
l10n.be.report.partner.vat.listing,l10n_be_reports,account.report,account_reports
account.move,printnode_base,l10n_cl.edi.util,l10n_cl_edi
account.move,printnode_base,account.move,printnode_base
account.move,printnode_base,portal.mixin,portal
account.move,printnode_base,mail.thread,mail
account.move,printnode_base,mail.activity.mixin,mail
account.move,printnode_base,sequence.mixin,account
account.move,printnode_base,utm.mixin,utm
account.move,printnode_base,printnode.mixin,printnode_base
account.move,printnode_base,printnode.scenario.mixin,printnode_base
fetchmail.server,l10n_it_edi,fetchmail.server,l10n_it_edi
fetchmail.server,l10n_it_edi,google.gmail.mixin,google_gmail
fetchmail.server,l10n_it_edi,microsoft.outlook.mixin,microsoft_outlook
l10n_cl.dte.caf,l10n_cl_edi,l10n_cl.edi.util,l10n_cl_edi
account.debit.note,account_debit_note,account.debit.note,account_debit_note
l10n_cl.daily.sales.book,l10n_cl_edi_boletas,mail.thread,mail
l10n_cl.daily.sales.book,l10n_cl_edi_boletas,l10n_cl.edi.util,l10n_cl_edi
account.eightcolumns.report.cl,l10n_cl_reports,account.report,account_reports
l10n_co_reports.certification_report,l10n_co_reports,account.report,account_reports
l10n_co_reports.certification_report.ica,l10n_co_reports,l10n_co_reports.certification_report,l10n_co_reports
l10n_co_reports.certification_report.iva,l10n_co_reports,l10n_co_reports.certification_report,l10n_co_reports
l10n_co_reports.certification_report.fuente,l10n_co_reports,l10n_co_reports.certification_report,l10n_co_reports
l10n.de.report.partner.vat.intra,l10n_de_reports,account.report,account_reports
l10n_es_reports.aeat.mod347.real.estates.vat,l10n_es_real_estates,l10n_es_reports.aeat.mod347.manual.partner.data,l10n_es_reports
l10n_es_reports.aeat.boe.mod111and115and303.export.wizard,l10n_es_reports,l10n_es_reports.aeat.boe.export.wizard,l10n_es_reports
l10n_es_reports.aeat.boe.mod347and349.export.wizard,l10n_es_reports,l10n_es_reports.aeat.boe.export.wizard,l10n_es_reports
