module,type,name,model,file_path,details
bista_convert_product,MODULE_HEADER,,,,"Total: 3 fields, 7 methods"
bista_convert_product,SECTION,FIELDS,,,3 fields
bista_convert_product,MODEL_HEADER,,stock.lot.convert.product,,3 fields
bista_convert_product,FIELD,bs_destination_product_id,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Many2one - {'string': 'Destination Product'}
bista_convert_product,FIELD,bs_source_product_id,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Many2one - {'string': 'Source Product'}
bista_convert_product,FIELD,bs_stock_lot_id,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,"Many2one - {'string': 'Stock Lot', 'required': 'True', 'ondelete': 'cascade'}"
bista_convert_product,SECTION,METHODS,,,7 methods
bista_convert_product,MODEL_HEADER,,stock.lot.convert.product,,6 methods
bista_convert_product,METHOD,action_convert,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Class: StockLotConvertToProduct
bista_convert_product,METHOD,check_validation,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Class: StockLotConvertToProduct
bista_convert_product,METHOD,convert_lot_msg_post,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Class: StockLotConvertToProduct
bista_convert_product,METHOD,create_destination_product_transfer,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Class: StockLotConvertToProduct
bista_convert_product,METHOD,create_source_product_transfer,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Class: StockLotConvertToProduct
bista_convert_product,METHOD,get_new,stock.lot.convert.product,C:\Odoo\sh\src\user\bista_convert_product\wizard\product_convert_wizard.py,Class: StockLotConvertToProduct
bista_convert_product,MODEL_HEADER,,stock.production.lot,,1 methods
bista_convert_product,METHOD,convert_product,stock.production.lot,C:\Odoo\sh\src\user\bista_convert_product\models\stock_lot.py,Class: StockLot
csl_account,MODULE_HEADER,,,,"Total: 78 fields, 60 methods"
csl_account,SECTION,FIELDS,,,78 fields
csl_account,MODEL_HEADER,,account.authnet.cim,,6 fields
csl_account,FIELD,default_payprofile_id,account.authnet.cim,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,"Many2one - {'domain': ""[('cim_id','=',id)]"", 'help': ""Load this record by default when registering a payment. Won't prevent access to other payment profiles.""}"
csl_account,FIELD,invoice_addr_id,account.authnet.cim,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,"Many2one - {'readonly': 'True', 'required': 'True'}"
csl_account,FIELD,name,account.authnet.cim,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,Char - {'readonly': 'True'}
csl_account,FIELD,partner_id,account.authnet.cim,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,"Many2one - {'readonly': 'True', 'required': 'True'}"
csl_account,FIELD,payprofile_ids,account.authnet.cim,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,One2many - {'readonly': 'True'}
csl_account,FIELD,profile_id,account.authnet.cim,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,Char - {'readonly': 'True'}
csl_account,MODEL_HEADER,,account.authnet.cim.payprofile,,9 fields
csl_account,FIELD,alt_invoice_addr_id,account.authnet.cim.payprofile,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,"Many2one - {'readonly': 'True', 'help': 'An alternative contact to the default billing contact on the Customer Profile.'}"
csl_account,FIELD,cc_cvv,account.authnet.cim.payprofile,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,"Char - {'size': '4', 'readonly': 'True'}"
csl_account,FIELD,cc_exp_month,account.authnet.cim.payprofile,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,Char - {'size': '2'}
csl_account,FIELD,cc_exp_year,account.authnet.cim.payprofile,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,Char - {'size': '2'}
csl_account,FIELD,cc_number,account.authnet.cim.payprofile,C:\Odoo\sh\src\user\csl_account\models\authorize_net_config.py,"Char - {'readonly': 'True', 'size': '16'}"
