module1,module2,similarity_score,shared_models,shared_models_list,shared_methods,has_dependency,recommendation
csl_custom,csl_sale,0.2727272727272727,3,"sale.order.line, stock.move, stock.move.line",0,False,LOW: Low similarity - keep separate
csl_contacts,csl_invoice,0.25,1,res.company,0,False,LOW: Low similarity - keep separate
csl_contacts,csl_purchase,0.25,2,"res.company, res.partner",0,False,LOW: Low similarity - keep separate
csl_account,csl_purchase,0.22727272727272727,5,"account.move, account.payment.register, purchase.order, purchase.order.line, res.partner",1,False,LOW: Low similarity - keep separate
csl_contacts,csl_website,0.2222222222222222,2,"res.company, res.partner",0,False,LOW: Low similarity - keep separate
csl_competitor,csl_compress_product_image,0.2,1,product.template,0,False,LOW: Low similarity - keep separate
csl_contacts,csl_login,0.16666666666666666,1,res.partner,0,False,LOW: Low similarity - keep separate
csl_purchase,csl_website,0.15384615384615385,2,"res.company, res.partner",0,False,LOW: Low similarity - keep separate
csl_photos,csl_rma,0.15151515151515152,5,"rma.expected_delivery, rma.product_line, stock.move.line, stock.picking, stock.production.lot",1,False,LOW: Low similarity - keep separate
csl_attendance,csl_invoice,0.14285714285714285,1,res.company,0,False,LOW: Low similarity - keep separate
csl_compress_product_image,sale_disable_auto_followers,0.14285714285714285,1,res.config.settings,0,False,LOW: Low similarity - keep separate
csl_custom,csl_photos,0.13333333333333333,2,"project.task.product, stock.move.line",0,False,LOW: Low similarity - keep separate
csl_rma,csl_sale,0.12903225806451613,4,"sale.order, sale.order.line, stock.move, stock.move.line",2,False,LOW: Low similarity - keep separate
csl_attendance,csl_contacts,0.125,1,res.company,0,False,LOW: Low similarity - keep separate
csl_custom,csl_invoice,0.125,1,account.move.line,0,False,LOW: Low similarity - keep separate
csl_invoice,csl_purchase,0.125,1,res.company,0,False,LOW: Low similarity - keep separate
csl_rma,csl_website,0.125,4,"res.company, res.partner, rma.expected_delivery, sale.order",3,False,LOW: Low similarity - keep separate
project_repair_workflow,csl_timesheet,0.125,2,"account.analytic.line, project.task",0,False,LOW: Low similarity - keep separate
csl_invoice,csl_website,0.1111111111111111,1,res.company,0,False,LOW: Low similarity - keep separate
csl_project_repair_assignee_log,csl_timesheet,0.1111111111111111,1,project.task,0,False,LOW: Low similarity - keep separate
csl_photos,csl_project_repair,0.10344827586206896,6,"product.template, project.task, project.task.accessories.product, project.task.product, stock.picking, stock.production.lot",1,False,LOW: Low similarity - keep separate
csl_login,csl_purchase,0.1,1,res.partner,0,False,LOW: Low similarity - keep separate
csl_rma,sale_disable_auto_followers,0.0967741935483871,3,"res.config.settings, sale.order, stock.picking",6,False,LOW: Low similarity - keep separate
csl_custom,csl_rma,0.09375,3,"sale.order.line, stock.move, stock.move.line",0,False,LOW: Low similarity - keep separate
csl_compress_product_image,csl_photos,0.09090909090909091,1,product.template,0,False,LOW: Low similarity - keep separate
csl_login,csl_website,0.09090909090909091,1,res.partner,0,False,LOW: Low similarity - keep separate
csl_photos,csl_project_repair_assignee_log,0.09090909090909091,1,project.task,0,False,LOW: Low similarity - keep separate
