module,Merge Into,Status,python_files,xml_files,lines_of_code,view_count,field_count,method_override_count,inherited_models_count,inherited_models_list,models_defined_count,models_defined_list,shared_inherited_models_count,shared_inherited_models
csl_account,csl_account,NA,14,17,2500,23,78,20,15,"account.batch.payment, account.fiscal.position, account.move, account.move.line, account.move.reversal, account.payment, account.payment.register, account.payment.term, payment.acquirer, payment.transaction, purchase.order, purchase.order.line, res.country.state, res.partner, stock.picking",21,"account.authnet.cim, account.authnet.cim.payprofile, account.batch.payment, account.fiscal.position, account.move, account.move.line, account.move.reversal, account.payment, account.payment.register, account.payment.term, cim.create.customer.profile, cim.create.payment.profile, payment.acquirer, payment.transaction, purchase.order, purchase.order.line, refund.customer, res.country.state, res.partner, stock.picking, stock.picking.backdate.wiz",8,"account.move (with csl_invoice, csl_purchase, sale_disable_auto_followers); account.move.line (with csl_custom, csl_invoice); account.payment.register (with csl_purchase); payment.transaction (with csl_website); purchase.order (with csl_purchase); purchase.order.line (with csl_purchase); res.partner (with csl_contacts, csl_login, csl_purchase, csl_rma, csl_website); stock.picking (with csl_photos, csl_project_repair, csl_rma, sale_disable_auto_followers)"
csl_invoice,csl_account,DFRNT,2,4,264,2,6,2,3,"account.move, account.move.line, res.company",3,"account.move, account.move.line, res.company",3,"account.move (with csl_account, csl_purchase, sale_disable_auto_followers); account.move.line (with csl_account, csl_custom); res.company (with csl_attendance, csl_contacts, csl_product, csl_purchase, csl_rma, csl_website)"
csl_contacts,csl_contacts,NA,2,3,216,9,78,2,3,"res.company, res.partner, res.partner.industry",3,"res.company, res.partner, res.partner.industry",2,"res.partner (with csl_account, csl_login, csl_purchase, csl_rma, csl_website); res.company (with csl_attendance, csl_invoice, csl_product, csl_purchase, csl_rma, csl_website)"
csl_attendance,csl_hr,DFRNT,4,6,450,10,21,4,4,"hr.attendance.break, hr.employee.base, mail.thread, res.company",7,"hr.attendance, hr.attendance.approved.ip, hr.attendance.break, hr.attendance.reason, hr.employee.base, mail.thread, res.company",2,"mail.thread (with csl_competitor, csl_product, csl_rma, csl_website, sale_disable_auto_followers); res.company (with csl_contacts, csl_invoice, csl_product, csl_purchase, csl_rma, csl_website)"
csl_timesheet,csl_hr,DFRNT,7,8,359,16,35,0,6,"account.analytic.line, hr.department, hr.employee, hr.employee.public, project.project, project.task",8,"account.analytic.line, hr.department, hr.employee, hr.employee.public, hr.timesheet.attendance.report, project.project, project.task, time.export.wizard",3,"project.task (with csl_photos, csl_project_repair, csl_project_repair_assignee_log, csl_rma, project_repair_workflow); account.analytic.line (with csl_project_repair, project_repair_workflow); project.project (with csl_rma)"
csl_photos,csl_photos,NA,7,6,1089,22,53,5,10,"product.product, product.template, project.task, project.task.accessories.product, project.task.product, rma.expected_delivery, rma.product_line, stock.move.line, stock.picking, stock.production.lot",11,"csl.image.data, product.product, product.template, project.task, project.task.accessories.product, project.task.product, rma.expected_delivery, rma.product_line, stock.move.line, stock.picking, stock.production.lot",8,"stock.production.lot (with bista_convert_product, csl_project_repair, csl_rma); stock.picking (with csl_account, csl_project_repair, csl_rma, sale_disable_auto_followers); product.template (with csl_competitor, csl_compress_product_image, csl_product, csl_project_repair, csl_website); product.product (with csl_compress_product_image, csl_product, csl_project_repair, csl_website); project.task.product (with csl_custom); stock.move.line (with csl_custom, csl_project_repair, csl_rma, csl_sale); project.task (with csl_project_repair, csl_project_repair_assignee_log, csl_rma, csl_timesheet, project_repair_workflow); rma.expected_delivery (with csl_rma)"
csl_competitor,csl_product,DFRNT,2,6,125,6,45,1,3,"mail.activity.mixin, mail.thread, product.template",6,"competitor.price, competitor.price.offering, competitor.provider, mail.activity.mixin, mail.thread, product.template",3,"mail.thread (with csl_attendance, csl_product, csl_rma, csl_website, sale_disable_auto_followers); mail.activity.mixin (with csl_product, csl_rma, csl_website); product.template (with csl_compress_product_image, csl_photos, csl_product, csl_project_repair, csl_website)"
csl_compress_product_image,csl_product,DFRNT,4,3,293,2,2,2,4,"ir.attachment, product.product, product.template, res.config.settings",4,"ir.attachment, product.product, product.template, res.config.settings",4,"product.template (with csl_competitor, csl_photos, csl_product, csl_project_repair, csl_website); ir.attachment (with csl_product); product.product (with csl_photos, csl_product, csl_project_repair, csl_website); res.config.settings (with csl_product, csl_project_repair, csl_rma, sale_disable_auto_followers)"
csl_product,csl_product,DFRNT,19,27,2873,53,273,27,16,"image.mixin, ir.attachment, mail.activity.mixin, mail.thread, product.attribute, product.attribute.value, product.category, product.product, product.template, res.company, res.config.settings, res.users, stock.quant, website.multi.mixin, website.published.mixin, website.seo.metadata",36,"image.mixin, ir.attachment, mail.activity.mixin, mail.thread, product.application, product.attribute, product.attribute.value, product.basecode, product.category, product.copy.wizard, product.images, product.manufacturer, product.pricing.report, product.product, product.public.category, product.quick.wizard, product.repairgroup, product.script, product.series, product.service.attribute, product.service.attribute.value, product.techcode, product.template, product.template.attribute.value, product.template.service.attribute.line, res.company, res.config.settings, res.users, script.record, stock.location, stock.quant, storage.category, website.multi.mixin, website.published.mixin, website.seo.metadata, wiz.product.image.data",9,"mail.thread (with csl_attendance, csl_competitor, csl_rma, csl_website, sale_disable_auto_followers); res.company (with csl_attendance, csl_contacts, csl_invoice, csl_purchase, csl_rma, csl_website); mail.activity.mixin (with csl_competitor, csl_rma, csl_website); product.template (with csl_competitor, csl_compress_product_image, csl_photos, csl_project_repair, csl_website); ir.attachment (with csl_compress_product_image); product.product (with csl_compress_product_image, csl_photos, csl_project_repair, csl_website); res.config.settings (with csl_compress_product_image, csl_project_repair, csl_rma, sale_disable_auto_followers); res.users (with csl_login); stock.quant (with csl_rma)"
bista_convert_product,csl_repair,,2,3,209,1,3,0,1,stock.production.lot,2,"stock.lot.convert.product, stock.production.lot",1,"stock.production.lot (with csl_photos, csl_project_repair, csl_rma)"
