field_key,view_modules,data_modules,shared_between,recommendation
account.move.name,"website_sale, l10n_cl_edi, account_fleet, l10n_in, csl_invoice, account_invoice_extract, sale, account_asset, l10n_latam_invoice_document, account_3way_match, l10n_it_edi, account_edi_facturx, account_reports, l10n_ar_edi, partner_commission, sale_subscription, sale_timesheet, l10n_ar, account_edi_ubl_cii, csl_account, account_taxcloud, account_debit_note, account_accountant, stock_landed_costs, l10n_it_stock_ddt, account_check_printing, account_auto_transfer, purchase, csl_purchase, l10n_cl",,views,Consider moving field definition to core if views manipulate same data
search_view_id,"helpdesk, point_of_sale, mail, uom, account_3way_match, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, hr_appraisal, csl_project_repair, crm, sale_renting, digest, calendar, lunch, sign, google_drive, note, coupon, sale, account_bank_statement_import, im_livechat, base, phone_validation, l10n_in_hr_payroll, planning, membership, website_slides, website_crm_partner_assign, website_sale, fetchmail, hr_expense, account_batch_payment, hr_referral, account_asset, gamification, account_budget, hr_attendance, analytic, account_taxcloud, product, hr_contract_salary, account_test, project, crm_iap_lead_website, l10n_latam_base, website_customer, purchase, contacts, hr_contract, industry_fsm, hr_payroll, csl_product, resource, website_twitter_wall, fleet, hr_holidays, project_timesheet_forecast, web_tour, mrp_workorder, utm, extra_addons, account_auto_transfer, quality_control, voip, hr_work_entry, maintenance, sale_subscription_dashboard, stock_picking_batch, helpdesk_timesheet, account, purchase_stock, account_accountant",,views,Consider moving field definition to core if views manipulate same data
account.journal.name,"l10n_au_aba, l10n_mx, account_followup, l10n_ar, l10n_latam_invoice_document, account_bank_statement_import, account_3way_match, hr_expense, account, account_check_printing, account_batch_payment, l10n_in, point_of_sale, account_accountant, account_reports, l10n_ar_edi","hr_payroll_account, l10n_generic_auto_transfer_demo",both,Move field definition to core
parent_id,"account_accountant, website_forum, hr_contract_salary_payroll, hr_contract_salary",,views,Consider moving field definition to core if views manipulate same data
res.users.groups_id,l10n_uk_reports,"website_slides, hr_payroll, account_consolidation, helpdesk, hr_expense, event, hr_recruitment, hr_referral, point_of_sale, website, mrp_plm, sale, fleet, account_budget, hr_attendance, social, hr_timesheet, l10n_be_hr_contract_salary, hr_appraisal, quality, account_accountant, hr_contract, sign",both,Move field definition to core
name,"csl_project_repair_assignee_log, helpdesk, mail_client_extension, l10n_cl_edi, hr_recruitment, adyen_platforms, point_of_sale, helpdesk_sale_timesheet, l10n_be_hr_payroll_273S_274, web, onedrive, l10n_in, website, csl_invoice, hr_skills, csl_sale, mrp_plm, sale_ebay, mail, uom, account_online_synchronization, l10n_mx_edi_stock, industry_fsm_sale, mrp, mrp_account_enterprise, account_edi_ubl, website_blog, csl_attendance, account_disallowed_expenses, l10n_fr_hr_payroll, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, l10n_lu_reports, l10n_fr_pos_cert, l10n_de_pos_cert, payment, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, stock_landed_costs, csl_project_repair, crm, sale_amazon, product_margin, sale_renting, l10n_gcc_invoice, digest, calendar, stock_sms, website_slides_survey, lunch, bista_aws_s3_file_storage, pos_l10n_se, crm_helpdesk, website_studio, sign, crm_sms, l10n_cl, hr_work_entry_contract, website_event_meet, test_access_rights, sale_crm, account_followup, website_forum, website_calendar, google_drive, website_sale_comparison, project_timesheet_synchro, timesheet_grid, website_livechat, l10n_lu_reports_electronic_xml_2_0, event_barcode, stock_account, note, bista_convert_product, hr_payroll_account, shipengine_shipping_integration, base_setup, mass_mailing, coupon, event_sms, sale, stock_barcode, website_event_track, l10n_au_reports, documents_account, account_bank_statement_import, csl_timesheet, l10n_ph, im_livechat, l10n_it_edi, iot, l10n_uk_reports, repair, base, social, phone_validation, documents, l10n_de_reports, barcodes, sale_management, account_sepa_direct_debit, hr_contract_sign, l10n_ar_reports, l10n_in_hr_payroll, portal, event_crm, web_studio, sh_purchase_cancel, crm_iap_lead, marketing_automation, l10n_mx_xml_polizas, website_jitsi, switch_user_app, planning, test_testing_utilities, membership, hr, website_event_questions, website_slides, l10n_lu_reports_electronic, documents_spreadsheet, l10n_be_hr_payroll_posted_employee, rating, sms, helpdesk_repair, website_crm_partner_assign, website_sale, sales_team, bi_sql_editor, fetchmail, hr_expense, mrp_mps, account_batch_payment, hr_referral, auth_totp, csl_compress_product_image, base_import_module, project_repair_workflow, quality_mrp, pos_blackbox_be, account_asset, l10n_eu_service, l10n_be_hr_payroll, auth_ldap, l10n_fr_fec, pos_loyalty, l10n_latam_invoice_document, csl_photos, shipengine_shipping_integration_ex, purchase_requisition, gamification, sh_purchase_tags, account_budget, auth_totp_portal, sh_base_whatsapp_integration, hr_attendance, pos_sale, split_rfq, partner_commission, l10n_cl_edi_boletas, microsoft_calendar, l10n_de, iap, test_mail, l10n_cl_reports, analytic, mail_github, l10n_au_keypay, csl_account, account_taxcloud, product, industry_fsm_sale_report, l10n_in_purchase, hr_contract_salary, account_test, csl_rma, stock_move_location, l10n_in_reports, project, website_membership, csl_website, l10n_be_hr_payroll_variable_revenue, voip_crm, l10n_cn, crm_iap_lead_website, sh_purchase_custom_checklist, sh_merge_purchase_order, account_winbooks_import, l10n_latam_base, sale_coupon, website_customer, website_event_sale, calendar_sms, contacts, auth_oauth, hr_contract, purchase, industry_fsm, sale_expense, l10n_pe_edi, pos_adyen, hr_payroll, sale_project, google_calendar, test_action_bindings, csl_product, resource, website_twitter_wall, project_forecast, event, l10n_be_reports, base_automation, snailmail, event_sale, sale_product_configurator, account_invoice_extract, l10n_co_edi, fleet, hr_holidays, project_timesheet_forecast, web_tour, sh_purchase_multi_product_adv, sh_report_section, l10n_ch, l10n_ar_edi, hr_gamification, printnode_base, quality_mrp_workorder, account_online_sync, auth_signup, l10n_sg_reports, l10n_ar, mass_mailing_sms, delivery_easypost, hr_expense_extract, hr_presence, mrp_workorder, website_event_track_exhibitor, utm, timer, extra_addons, account_auto_transfer, hr_payroll_edit_lines, quality_control, delivery, voip, google_spreadsheet, hr_work_entry, sh_purchase_report_section, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, mrp_account, l10n_it_stock_ddt, stock_picking_batch, helpdesk_timesheet, l10n_mx_edi, account, purchase_stock, account_accountant, website_sale_wishlist, csl_purchase, sale_renting_sign, website_event_track_quiz",,views,Consider moving field definition to core if views manipulate same data
group_id,"auth_totp_portal, auth_totp",,views,Consider moving field definition to core if views manipulate same data
tag,"project_timesheet_synchro, mrp_mps, event_barcode, l10n_be_reports, stock_barcode, l10n_au_reports, hr_attendance, stock, base, l10n_de_reports, l10n_lu_reports, l10n_cl_reports, l10n_ar_reports, web_studio, l10n_in_reports, stock_barcode_picking_batch, sale_subscription_dashboard, account_accountant, l10n_lu_reports_electronic, website_studio, sign",,views,Consider moving field definition to core if views manipulate same data
res_model,"csl_project_repair_assignee_log, helpdesk, l10n_cl_edi, hr_recruitment, adyen_platforms, point_of_sale, l10n_be_hr_payroll_273S_274, website, hr_skills, csl_sale, mrp_plm, sale_ebay, mail, uom, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, csl_attendance, account_disallowed_expenses, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, l10n_fr_pos_cert, l10n_de_pos_cert, payment, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, csl_project_repair, crm, sale_amazon, product_margin, sale_renting, digest, calendar, website_slides_survey, lunch, bista_aws_s3_file_storage, pos_l10n_se, crm_helpdesk, website_event_meet, sign, crm_sms, l10n_cl, sale_crm, website_sale_comparison, website_calendar, google_drive, l10n_lu_reports_electronic_xml_2_0, stock_account, note, bista_convert_product, shipengine_shipping_integration, base_setup, mass_mailing, coupon, sale, stock_barcode, website_event_track, csl_timesheet, documents_account, account_bank_statement_import, l10n_ph, im_livechat, l10n_it_edi, iot, l10n_uk_reports, base, social, phone_validation, documents, barcodes, sale_management, hr_contract_sign, l10n_ar_reports, l10n_in_hr_payroll, portal, event_crm, web_studio, crm_iap_lead, marketing_automation, l10n_mx_xml_polizas, website_jitsi, switch_user_app, planning, test_testing_utilities, membership, hr, website_event_questions, website_slides, l10n_be_hr_payroll_posted_employee, documents_spreadsheet, rating, sms, helpdesk_repair, website_crm_partner_assign, website_sale, sales_team, bi_sql_editor, fetchmail, hr_expense, mrp_mps, account_batch_payment, hr_referral, project_repair_workflow, base_import_module, quality_mrp, account_asset, l10n_eu_service, l10n_be_hr_payroll, auth_ldap, l10n_fr_fec, pos_loyalty, l10n_latam_invoice_document, csl_photos, shipengine_shipping_integration_ex, purchase_requisition, gamification, sh_purchase_tags, account_budget, sh_base_whatsapp_integration, split_rfq, hr_attendance, pos_sale, partner_commission, microsoft_calendar, iap, analytic, mail_github, csl_account, account_taxcloud, product, hr_contract_salary, account_test, csl_rma, project, l10n_be_hr_payroll_variable_revenue, crm_iap_lead_website, sh_purchase_custom_checklist, sh_merge_purchase_order, account_winbooks_import, stock_enterprise, l10n_latam_base, sale_coupon, website_customer, sale_expense, contacts, project_enterprise, auth_oauth, hr_contract, industry_fsm, purchase, l10n_pe_edi, test_action_bindings, hr_payroll, stock_move_location, google_calendar, csl_product, resource, website_twitter_wall, project_forecast, l10n_be_reports, base_automation, snailmail, event_sale, sale_product_configurator, fleet, hr_holidays, project_timesheet_forecast, web_tour, sh_purchase_multi_product_adv, sh_report_section, l10n_ar_edi, hr_gamification, quality_mrp_workorder, l10n_sg_reports, l10n_ar, mass_mailing_sms, delivery_easypost, hr_expense_extract, mrp_workorder, website_event_track_exhibitor, utm, extra_addons, account_auto_transfer, hr_payroll_edit_lines, quality_control, delivery, voip, google_spreadsheet, hr_work_entry, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, stock_picking_batch, helpdesk_timesheet, account, purchase_stock, account_accountant, csl_purchase, sale_renting_sign, website_event_track_quiz",,views,Consider moving field definition to core if views manipulate same data
help,"helpdesk, hr_recruitment, point_of_sale, mrp_plm, mail, uom, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, account_disallowed_expenses, website_slides_forum, stock, industry_fsm_report, sale_subscription, sale_timesheet, l10n_fr_pos_cert, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, csl_project_repair, crm, sale_amazon, sale_renting, calendar, website_slides_survey, lunch, sign, website_calendar, google_drive, stock_account, note, mass_mailing, coupon, sale, stock_barcode, website_event_track, im_livechat, iot, l10n_uk_reports, base, social, phone_validation, documents, barcodes, sale_management, event_crm, marketing_automation, planning, membership, website_slides, rating, website_crm_partner_assign, website_sale, sales_team, hr_expense, account_batch_payment, hr_referral, pos_loyalty, gamification, account_budget, hr_attendance, analytic, csl_account, product, hr_contract_salary, account_test, csl_rma, project, crm_iap_lead_website, stock_enterprise, website_customer, purchase, contacts, hr_contract, industry_fsm, hr_payroll, csl_product, resource, project_forecast, base_automation, fleet, hr_holidays, project_timesheet_forecast, hr_gamification, mass_mailing_sms, mrp_workorder, website_event_track_exhibitor, utm, quality_control, delivery, voip, google_spreadsheet, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, stock_picking_batch, account, purchase_stock, account_accountant, csl_purchase, website_event_track_quiz",,views,Consider moving field definition to core if views manipulate same data
