class,model,method,file_path,module
Custom_Company,res.company,create,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
CustomResSettings,res.config.settings,set_values,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
CustomResSettings,res.config.settings,get_values,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
S3toIrAttachment,ir.attachment,unlink,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
S3toIrAttachment,ir.attachment,create,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
S3toIrAttachment,ir.attachment,write,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
IrModel,ir.model,_name_search,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
IrModel,ir.model,search_read,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
MailComposeMessage,mail.compose.message,send_mail,C:\Cursor\Odoo\csl_addons\bista_aws_s3_file_storage\models\aws_configurations.py,bista_aws_s3_file_storage
AccountMoveLine,account.move.line,_copy_data_extend_business_fields,C:\Cursor\Odoo\csl_addons\bista_vendor_advance_payment\model\account_move.py,bista_vendor_advance_payment
AccountMove,account.move,unlink,C:\Cursor\Odoo\csl_addons\bista_vendor_advance_payment\model\account_move.py,bista_vendor_advance_payment
PurchaseOrder,purchase.order,copy_data,C:\Cursor\Odoo\csl_addons\bista_vendor_advance_payment\model\purchase.py,bista_vendor_advance_payment
AccountBatchPayment,account.batch.payment,_check_payments_constrains,C:\Cursor\Odoo\csl_addons\csl_account\models\account_batch_payment.py,csl_account
AccountMove,account.move,action_register_payment,C:\Cursor\Odoo\csl_addons\csl_account\models\account_move.py,csl_account
AccountMove,account.move,action_post,C:\Cursor\Odoo\csl_addons\csl_account\models\account_move.py,csl_account
AccountMoveLine,account.move.line,_get_computed_taxes,C:\Cursor\Odoo\csl_addons\csl_account\models\account_move.py,csl_account
AccountMoveLine,account.move.line,_onchange_price_subtotal,C:\Cursor\Odoo\csl_addons\csl_account\models\account_move.py,csl_account
AccountMoveLine,account.move.line,create,C:\Cursor\Odoo\csl_addons\csl_account\models\account_move.py,csl_account
AccountPaymentRegister,account.payment.register,default_get,C:\Cursor\Odoo\csl_addons\csl_account\models\account_move.py,csl_account
AccountPayment,account.payment,create_batch_payment,C:\Cursor\Odoo\csl_addons\csl_account\models\account_payment.py,csl_account
AccountPayment,account.payment,action_post,C:\Cursor\Odoo\csl_addons\csl_account\models\account_payment.py,csl_account
PaymentTransaction,payment.transaction,_create_payment,C:\Cursor\Odoo\csl_addons\csl_account\models\account_payment.py,csl_account
AccountPaymentRegister,account.payment.register,_create_payments,C:\Cursor\Odoo\csl_addons\csl_account\models\account_payment.py,csl_account
AccountPaymentRegister,account.payment.register,_compute_payment_token_id,C:\Cursor\Odoo\csl_addons\csl_account\models\account_payment.py,csl_account
PaymentAcquirerAuthorize,payment.acquirer,_get_feature_support,C:\Cursor\Odoo\csl_addons\csl_account\models\payment_authorize.py,csl_account
PaymentAcquirerAuthorize,payment.acquirer,authorize_form_generate_values,C:\Cursor\Odoo\csl_addons\csl_account\models\payment_authorize.py,csl_account
PurchaseOrder,purchase.order,_prepare_invoice,C:\Cursor\Odoo\csl_addons\csl_account\models\purchase.py,csl_account
PurchaseOrder,purchase.order,onchange_partner_id_warning,C:\Cursor\Odoo\csl_addons\csl_account\models\purchase.py,csl_account
PurchaseOrderLine,purchase.order.line,onchange_product_id_warning,C:\Cursor\Odoo\csl_addons\csl_account\models\purchase.py,csl_account
PurchaseOrderLine,purchase.order.line,_prepare_account_move_line,C:\Cursor\Odoo\csl_addons\csl_account\models\purchase.py,csl_account
ResPartner,res.partner,_commercial_fields,C:\Cursor\Odoo\csl_addons\csl_account\models\res_partner.py,csl_account
ResPartner,res.partner,create,C:\Cursor\Odoo\csl_addons\csl_account\models\res_partner.py,csl_account
cim_create_payment_profile,cim.create.payment.profile,create,C:\Cursor\Odoo\csl_addons\csl_account\wizard\create_payment_profile.py,csl_account
RefundCustomer,refund.customer,default_get,C:\Cursor\Odoo\csl_addons\csl_account\wizard\customer_refund.py,csl_account
AccountMoveReversal,account.move.reversal,_prepare_default_reversal,C:\Cursor\Odoo\csl_addons\csl_account\wizard\customer_refund.py,csl_account
HrAttendance,hr.attendance,create,C:\Cursor\Odoo\csl_addons\csl_attendance\models\hr_attendance.py,csl_attendance
HrAttendance,hr.attendance,_check_validity,C:\Cursor\Odoo\csl_addons\csl_attendance\models\hr_attendance.py,csl_attendance
HrEmployeeBase,hr.employee.base,_attendance_action,C:\Cursor\Odoo\csl_addons\csl_attendance\models\hr_employee.py,csl_attendance
HrEmployeeBase,hr.employee.base,_compute_presence_state,C:\Cursor\Odoo\csl_addons\csl_attendance\models\hr_employee.py,csl_attendance
CompetitorPriceProvider,competitor.provider,unlink,C:\Cursor\Odoo\csl_addons\csl_competitor\models\competitor.py,csl_competitor
ProductTemplate,product.template,create,C:\Cursor\Odoo\csl_addons\csl_compress_product_image\models\product.py,csl_compress_product_image
ProductTemplate,product.template,write,C:\Cursor\Odoo\csl_addons\csl_compress_product_image\models\product.py,csl_compress_product_image
ResPartner,res.partner,create,C:\Cursor\Odoo\csl_addons\csl_contacts\models\res_partner.py,csl_contacts
ResPartner,res.partner,write,C:\Cursor\Odoo\csl_addons\csl_contacts\models\res_partner.py,csl_contacts
ResUsers,res.users,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_contacts\models\res_users.py,csl_contacts
ResUsers,res.users,action_reset_password,C:\Cursor\Odoo\csl_addons\csl_contacts\models\res_users.py,csl_contacts
PortalWizard,portal.wizard,_default_user_ids,C:\Cursor\Odoo\csl_addons\csl_contacts\wizard\portal_wizard.py,csl_contacts
ProjectTaskProduct,project.task.product,write,C:\Cursor\Odoo\csl_addons\csl_custom\models\custom.py,csl_custom
SaleOrderLine,sale.order.line,_prepare_procurement_values,C:\Cursor\Odoo\csl_addons\csl_custom\models\custom.py,csl_custom
StockRule,stock.rule,_get_stock_move_values,C:\Cursor\Odoo\csl_addons\csl_custom\models\custom.py,csl_custom
HrAttendance,hr.attendance,create,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_attendance.py,csl_hr
HrAttendance,hr.attendance,_check_validity,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_attendance.py,csl_hr
HrEmployeeBase,hr.employee.base,_attendance_action,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_employee.py,csl_hr
HrEmployeeBase,hr.employee.base,_compute_presence_state,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_employee.py,csl_hr
AccountMoveLine,account.move.line,_onchange_price_subtotal,C:\Cursor\Odoo\csl_addons\csl_invoice\models\account_move.py,csl_invoice
AccountMoveLine,account.move.line,create,C:\Cursor\Odoo\csl_addons\csl_invoice\models\account_move.py,csl_invoice
ResPartner,res.partner,_get_signup_url_for_action,C:\Cursor\Odoo\csl_addons\csl_login\models\res_partner.py,csl_login
ResUsers,res.users,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_login\models\res_users.py,csl_login
ResUsers,res.users,action_reset_password,C:\Cursor\Odoo\csl_addons\csl_login\models\res_users.py,csl_login
PortalWizard,portal.wizard,_default_user_ids,C:\Cursor\Odoo\csl_addons\csl_login\wizard\portal_wizard.py,csl_login
ExpectedDelivery,rma.expected_delivery,create,C:\Cursor\Odoo\csl_addons\csl_photos\models\expected_delivery.py,csl_photos
ProjectTask,project.task,create,C:\Cursor\Odoo\csl_addons\csl_photos\models\project_task.py,csl_photos
CslImageData,csl.image.data,name_get,C:\Cursor\Odoo\csl_addons\csl_photos\models\qr_code_data.py,csl_photos
CslImageData,csl.image.data,unlink,C:\Cursor\Odoo\csl_addons\csl_photos\models\qr_code_data.py,csl_photos
StockPicking,stock.picking,create,C:\Cursor\Odoo\csl_addons\csl_photos\models\stock_picking.py,csl_photos
CompetitorPriceProvider,competitor.provider,unlink,C:\Cursor\Odoo\csl_addons\csl_product\models\competitor.py,csl_product
ProductManufacturer,product.manufacturer,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
ProductPublicCategory,product.public.category,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
ProductSeries,product.series,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
IrAttachment,ir.attachment,create,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
IrAttachment,ir.attachment,write,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
