field_key,model,field_name,used_in_modules,defined_in_module,root_module,extending_modules,usage_count
account.move.name,account.move,name,"l10n_cl, account_3way_match, sale_timesheet, csl_purchase, l10n_it_edi, account_edi_ubl_cii, account_accountant, l10n_latam_invoice_document, account_invoice_extract, purchase, account_taxcloud, csl_invoice, account_debit_note, sale_subscription, account_reports, account_edi_facturx, l10n_in, l10n_it_stock_ddt, account_auto_transfer, l10n_cl_edi, csl_account, l10n_ar, account_asset, partner_commission, account_check_printing, website_sale, stock_landed_costs, l10n_ar_edi, account_fleet, sale",account,account,,51
account.journal.name,account.journal,name,"account_accountant, account_batch_payment, l10n_generic_auto_transfer_demo, account, l10n_latam_invoice_document, account_bank_statement_import, account_reports, account_check_printing, point_of_sale, l10n_in, account_3way_match, account_followup, hr_expense, l10n_ar_edi, l10n_mx, hr_payroll_account, l10n_au_aba, l10n_ar",account,account,l10n_multilang,21
res.users.groups_id,res.users,groups_id,"account_budget, social, hr_timesheet, l10n_be_hr_contract_salary, account_consolidation, hr_expense, hr_attendance, account_accountant, website_slides, hr_referral, l10n_uk_reports, helpdesk, fleet, hr_payroll, quality, hr_appraisal, mrp_plm, point_of_sale, hr_recruitment, hr_contract, sign, event, sale, website",base,base,,33
ir.module.category.name,ir.module.category,name,"account_accountant, sale_subscription, lunch, documents, mrp_plm, sql_request_abstract, sh_purchase_tags, fleet, csl_project_repair, website_calendar, im_livechat, quality, marketing_automation",base,base,,13
res.groups.name,res.groups,name,"lunch, sh_purchase_custom_checklist, social, test_access_rights, bista_convert_product, account_consolidation, sale_management, hr_expense, csl_project_repair, hr_attendance, approvals, account_accountant, documents, sh_purchase_multi_product_adv, website_slides, sh_purchase_whatsapp_integration, sh_purchase_price_history, quality_mrp, sh_purchase_cancel, sh_purchase_order_history, hr_referral, sale_subscription, sh_base_whatsapp_integration, l10n_in, helpdesk, fleet, sale_stock, website_calendar, quality, sh_report_section, hr, csl_account, hr_appraisal, planning, hr_holidays, maintenance, mass_mailing, sales_team, project, mrp_plm, point_of_sale, hr_recruitment, csl_project_repair_assignee_log, sql_request_abstract, sh_purchase_tags, base, split_rfq, im_livechat, sale, marketing_automation, website",base,base,,95
res.groups.category_id,res.groups,category_id,"lunch, sh_purchase_custom_checklist, social, bista_convert_product, account_consolidation, sale_management, hr_expense, csl_project_repair, hr_attendance, approvals, account_accountant, documents, sh_purchase_multi_product_adv, website_slides, sh_purchase_price_history, sh_purchase_order_history, hr_referral, sale_subscription, l10n_in, helpdesk, fleet, sale_stock, website_calendar, quality, sh_report_section, hr, csl_account, hr_appraisal, planning, hr_holidays, maintenance, mass_mailing, sales_team, project, mrp_plm, point_of_sale, hr_recruitment, csl_project_repair_assignee_log, sql_request_abstract, sh_purchase_tags, base, im_livechat, sale, marketing_automation, website",base,base,,90
res.groups.implied_ids,res.groups,implied_ids,"lunch, social, account_consolidation, sale_management, hr_expense, sales_team, csl_project_repair, hr_attendance, approvals, mrp_workorder, account_accountant, printnode_base, documents, l10n_be_edi, website_slides, quality_mrp, hr_maintenance, hr_referral, sale_subscription, website_event, helpdesk, fleet, website_calendar, quality, hr, csl_account, hr_appraisal, planning, hr_contract_sign, hr_holidays, maintenance, mass_mailing, project, mrp_plm, point_of_sale, hr_recruitment, website_sale, sql_request_abstract, website_hr_recruitment, l10n_be_hr_payroll_fleet, im_livechat, sale_renting_sign, sale, marketing_automation, website",base,base,,76
account.account.name,account.account,name,"account_accountant, account_asset, l10n_au_keypay, hr_payroll_account, account_disallowed_expenses",account,account,l10n_multilang,6
account.bank.statement.name,account.bank.statement,name,"account_accountant, l10n_fr_pos_cert, l10n_be_coda, point_of_sale",account,account,,4
account.move.line.name,account.move.line,name,"account_accountant, sale_subscription, account_asset, l10n_latam_invoice_document, sale_subscription_dashboard, csl_account, l10n_ar",account,account,,22
account.payment.name,account.payment,name,"account_accountant, l10n_mx_edi, account_check_printing, l10n_au_aba, csl_account",unknown,unknown,,9
digest.digest.name,digest.digest,name,"account_accountant, account, digest, project, point_of_sale, website_sale, hr_recruitment, helpdesk, sale_management, crm, hr_rfid, im_livechat",digest,digest,,14
res.partner.name,res.partner,name,"l10n_gt, website_customer, crm, base_setup, sms, l10n_si, l10n_ie, l10n_au, delivery_ups, l10n_in_sale, l10n_fr, l10n_es, contacts_enterprise, l10n_il, csl_contacts, l10n_ro, hr_payroll, l10n_hr, l10n_pe, l10n_sk, l10n_lt, l10n_sa, l10n_za, sign, l10n_vn, l10n_syscohada, website_partner, l10n_cl, l10n_be_hr_contract_salary, l10n_mx, l10n_br, base_geolocalize, l10n_it_edi, account_accountant, l10n_do, l10n_dk, l10n_ch, membership, l10n_be, l10n_ve, l10n_lu_peppol_id, base_iban, l10n_de_reports, l10n_fr_hr_payroll, l10n_no, sales_team, partner_autocomplete, partner_commission, partner_contact_access_link, mrp_subcontracting, l10n_es_edi_sii, website_crm_partner_assign, partner_firstname, l10n_tr, l10n_ph, website, l10n_cn, l10n_be_hr_payroll, csl_purchase, web_mobile, sale_ebay, sale_crm, documents, purchase, l10n_it, l10n_ca, l10n_nz, sh_base_whatsapp_integration, csl_rma, voip, l10n_in, l10n_cr, l10n_ua, l10n_de_skr03, web_map, l10n_pt, l10n_et, l10n_uy, l10n_mn, project, point_of_sale, account_check_printing, product, pos_loyalty, extra_addons, l10n_de_skr04, l10n_jp, l10n_pe_edi, sale, purchase_stock, l10n_co, l10n_bo, l10n_hu, l10n_mx_edi_stock, l10n_hn, l10n_lu, l10n_cz, partner_contact_personal_information_page, l10n_id, l10n_nl, l10n_latam_base, base_address_extended, delivery, sale_subscription, csl_login, partner_contact_in_several_companies, l10n_ae, l10n_ec, helpdesk, csl_account, l10n_ar, l10n_th, l10n_in_hr_payroll, l10n_gr, l10n_se, base_vat, l10n_hk, l10n_uk, l10n_pl",base,base,"csl_contacts, partner_firstname",205
product.template.name,product.template,name,"pos_blackbox_be, quality_control, website_membership, sale_product_matrix, sale_project, hr_expense, csl_project_repair, sale_timesheet, sale_product_configurator, website_sale_stock, account_accountant, sale_ebay, purchase, account_taxcloud, product_email_template, purchase_requisition, sh_purchase_price_history, csl_product, membership, sh_all_in_one_purchase_ex, sale_purchase, delivery, sale_stock_renting, sale_subscription, website_sale_digital, sale_amazon, l10n_in, mrp_account, industry_fsm_sale_report, csl_photos, mrp_plm, point_of_sale, product_expiry, product, mrp_account_enterprise, product_matrix, website_sale, event_sale, l10n_ar_edi, sale_renting, l10n_pe_edi, sale, csl_competitor",product,product,,82
res.config.settings.name,res.config.settings,name,"website_jitsi, website_livechat, crm, base_setup, sms, crm_iap_lead_enrich, delivery_ups, l10n_mx_edi, website_event_track, social_twitter, stock_sms, sh_purchase_cancel, sale_stock_renting, documents_hr, sale_stock, hr_payroll, delivery_fedex, sale_quotation_builder, auth_oauth, pos_mercury, l10n_id_efaktur, planning, sale_coupon, stock_barcode, product_expiry, l10n_au_keypay, l10n_cl_reports, pad, hr_contract_salary, project_enterprise, lunch, sale_ebay_account_deletion, website_twitter, cloud_base, l10n_cl, l10n_be_hr_contract_salary, pos_adyen, l10n_mx, base_geolocalize, l10n_be_hr_payroll_273S_274, website_sale_stock, account_accountant, mail_mobile, pad_project, website_google_tag_manager, account_reports, delivery_usps, sh_all_in_one_purchase_tools, documents_hr_recruitment, voip_onsip, l10n_fr_hr_payroll, l10n_eu_service, hr_appraisal, digest, partner_autocomplete, microsoft_calendar, hr_appraisal_survey, documents_hr_contract, partner_commission, web_unsplash, onedrive, l10n_es_edi_sii, partner_firstname, crm_iap_lead, l10n_ar_edi, sale_renting, website, bista_aws_s3_file_storage, social, hr_timesheet, l10n_it_edi_sdicoop, hr_recruitment_survey, l10n_be_hr_payroll, delivery_bpost, project_forecast, sale_ebay, documents, account_invoice_extract, crm_iap_lead_website, website_delivery_ups, snailmail_account, purchase, account_taxcloud, purchase_requisition, google_calendar, l10n_be_intrastat, csl_rma, voip, l10n_in, social_facebook, l10n_cl_edi, mrp_mps, web_map, auth_password_policy, hr, documents_account, sale_purchase_inter_company_rules, website_sale_dashboard, website_sale_delivery, pos_iot, project, point_of_sale, account_check_printing, website_sale, product, documents_project, stock_landed_costs, industry_fsm, switch_user_app, website_crm, sale_timesheet_enterprise, social_linkedin, l10n_pe_edi, sale_renting_sign, sale, l10n_be_hr_payroll_273S_274_account, purchase_stock, account_budget, google_recaptcha, sale_management, csl_project_repair, account_sepa_direct_debit, hr_attendance, sale_timesheet, mrp_workorder, currency_rate_live, account_sepa, delivery_dhl, project_timesheet_holidays, documents_product, website_slides, sh_purchase_whatsapp_integration, delivery_easypost, timesheet_grid, google_spreadsheet, csl_product, auth_ldap, delivery, fetchmail, csl_compress_product_image, google_drive, website_event, sale_amazon, auth_signup, mass_mailing, documents_hr_payroll, iap, website_sale_coupon, base_vat",unknown,unknown,,162
ir.cron.name,ir.cron,name,"website_twitter, social, l10n_lu_reports_electronic, l10n_it_edi_sdicoop, crm, l10n_fr_pos_cert, csl_project_repair, l10n_lu_reports_electronic_xml_2_0, data_cleaning, payment, crm_iap_lead_enrich, currency_rate_live, account, purchase, l10n_no_saft, l10n_lu_saft, account_edi, sale_amazon, account_followup, auth_signup, account_auto_transfer, csl_attendance, digest, hr_holidays, maintenance, partner_autocomplete, partner_commission, project, data_merge, base, l10n_pe_edi, marketing_automation, website",unknown,unknown,,41
ir.cron.model_id,ir.cron,model_id,"website_twitter, social, l10n_lu_reports_electronic, l10n_it_edi_sdicoop, crm, l10n_fr_pos_cert, csl_project_repair, l10n_lu_reports_electronic_xml_2_0, data_cleaning, payment, crm_iap_lead_enrich, currency_rate_live, account, purchase, l10n_no_saft, l10n_lu_saft, account_edi, sale_amazon, account_followup, auth_signup, account_auto_transfer, csl_attendance, digest, hr_holidays, maintenance, partner_autocomplete, partner_commission, project, data_merge, base, l10n_pe_edi, marketing_automation, website",unknown,unknown,,40
ir.cron.state,ir.cron,state,"website_twitter, social, l10n_lu_reports_electronic, l10n_it_edi_sdicoop, crm, l10n_fr_pos_cert, csl_project_repair, l10n_lu_reports_electronic_xml_2_0, data_cleaning, payment, crm_iap_lead_enrich, currency_rate_live, account, purchase, l10n_no_saft, l10n_lu_saft, account_edi, sale_amazon, account_followup, auth_signup, account_auto_transfer, csl_attendance, digest, hr_holidays, maintenance, partner_autocomplete, partner_commission, project, data_merge, base, l10n_pe_edi, marketing_automation, website",unknown,unknown,,40
ir.cron.code,ir.cron,code,"website_twitter, social, l10n_lu_reports_electronic, l10n_it_edi_sdicoop, crm, l10n_fr_pos_cert, csl_project_repair, l10n_lu_reports_electronic_xml_2_0, data_cleaning, payment, crm_iap_lead_enrich, currency_rate_live, account, purchase, l10n_no_saft, l10n_lu_saft, account_edi, sale_amazon, account_followup, auth_signup, account_auto_transfer, csl_attendance, digest, hr_holidays, maintenance, partner_autocomplete, partner_commission, project, data_merge, base, l10n_pe_edi, marketing_automation, website",unknown,unknown,,40
ir.cron.interval_number,ir.cron,interval_number,"website_twitter, social, l10n_it_edi_sdicoop, crm, l10n_fr_pos_cert, csl_project_repair, data_cleaning, payment, crm_iap_lead_enrich, currency_rate_live, account, purchase, account_edi, sale_amazon, account_followup, auth_signup, account_auto_transfer, csl_attendance, digest, hr_holidays, maintenance, partner_autocomplete, partner_commission, data_merge, base, l10n_pe_edi, marketing_automation, website",base,base,,34
ir.cron.interval_type,ir.cron,interval_type,"website_twitter, social, l10n_it_edi_sdicoop, crm, l10n_fr_pos_cert, csl_project_repair, data_cleaning, payment, crm_iap_lead_enrich, currency_rate_live, account, purchase, account_edi, sale_amazon, account_followup, auth_signup, account_auto_transfer, csl_attendance, digest, hr_holidays, maintenance, partner_autocomplete, partner_commission, project, data_merge, base, l10n_pe_edi, marketing_automation, website",base,base,,36
